"","Year.x","Cause","Population","Deaths","Death_rate_per_100000","Age"
"1",2010,"Self-harm",1507608,202,13.3987084175727,"below 40"
"2",2010,"Drug use disorders",1507608,95,6.30137277064064,"below 40"
"3",2010,"Road injury",1507608,85,5.6380703737311,"below 40"
"4",2010,"Breast cancer",1507608,33,2.18889790980149,"below 40"
"5",2010,"Ischaemic heart disease",1507608,31,2.05623743041958,"below 40"
"6",2010,"Brain and nervous system cancers",1507608,27,1.79091647165576,"below 40"
"7",2010,"Falls",1507608,25,1.65825599227385,"below 40"
"8",2010,"Congenital anomalies",1507608,20,1.32660479381908,"below 40"
"9",2010,"Colon and rectum cancers",1507608,19,1.26027455412813,"below 40"
"10",2010,"Stroke",1507608,15,0.994953595364312,"below 40"
"11",2015,"Self-harm",1670202,204,12.2140914691756,"below 40"
"12",2015,"Drug use disorders",1670202,91,5.44844276321068,"below 40"
"13",2015,"Road injury",1670202,57,3.41276085168141,"below 40"
"14",2015,"Brain and nervous system cancers",1670202,27,1.61657092974383,"below 40"
"15",2015,"Falls",1670202,25,1.49682493494799,"below 40"
"16",2015,"Leukaemia",1670202,25,1.49682493494799,"below 40"
"17",2015,"Congenital anomalies",1670202,21,1.25733294535631,"below 40"
"18",2015,"Colon and rectum cancers",1670202,17,1.01784095576463,"below 40"
"19",2015,"Ischaemic heart disease",1670202,17,1.01784095576463,"below 40"
"20",2015,"Breast cancer",1670202,16,0.957967958366713,"below 40"
"21",2019,"Self-harm",1646805,189,11.4767686520262,"below 40"
"22",2019,"Drug use disorders",1646805,74,4.49354963095206,"below 40"
"23",2019,"Road injury",1646805,39,2.36822210279906,"below 40"
"24",2019,"Brain and nervous system cancers",1646805,25,1.51809109153786,"below 40"
"25",2019,"Falls",1646805,23,1.39664380421483,"below 40"
"26",2019,"Congenital anomalies",1646805,21,1.2751965168918,"below 40"
"27",2019,"Ischaemic heart disease",1646805,19,1.15374922956877,"below 40"
"28",2019,"Breast cancer",1646805,18,1.09302558590726,"below 40"
"29",2019,"Colon and rectum cancers",1646805,17,1.03230194224574,"below 40"
"30",2019,"Trachea, bronchus, lung cancers",1646805,14,0.8501310112612,"below 40"
