Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
1610,Self-harm,CHE,2010,BTSX,YEARS20-24,472970,37.55,7.94,2592.98,548.23
1530,Road injury,CHE,2010,BTSX,YEARS20-24,472970,22.66,4.79,1883.17,398.16
870,Drug use disorders,CHE,2010,BTSX,YEARS20-24,472970,13.21,2.79,3489.06,737.69
1550,Falls,CHE,2010,BTSX,YEARS20-24,472970,6.88,1.45,2369.1,500.9
1400,Congenital anomalies,CHE,2010,BTSX,YEARS20-24,472970,5.73,1.21,745.5,157.62
970,Epilepsy,CHE,2010,BTSX,YEARS20-24,472970,4.41,0.93,628.28,132.84
751,Brain and nervous system cancers,CHE,2010,BTSX,YEARS20-24,472970,3.56,0.75,248.74,52.59
1620,Interpersonal violence,CHE,2010,BTSX,YEARS20-24,472970,3.08,0.65,473.87,100.19
1150,"Cardiomyopathy, myocarditis, endocarditis",CHE,2010,BTSX,YEARS20-24,472970,2.68,0.57,188.5,39.85
742,Testicular cancer,CHE,2010,BTSX,YEARS20-24,472970,2.41,0.51,176.69,37.36
1570,Drowning,CHE,2010,BTSX,YEARS20-24,472970,1.99,0.42,137.82,29.14
1575,Exposure to mechanical forces,CHE,2010,BTSX,YEARS20-24,472970,1.99,0.42,728.09,153.94
390,Lower respiratory infections,CHE,2010,BTSX,YEARS20-24,472970,1.17,0.25,81.48,17.23
690,Melanoma and other skin cancers,CHE,2010,BTSX,YEARS20-24,472970,1.2,0.25,90.45,19.12
760,"Lymphomas, multiple myeloma",CHE,2010,BTSX,YEARS20-24,472970,1.2,0.25,98.1,20.74
770,Leukaemia,CHE,2010,BTSX,YEARS20-24,472970,1.15,0.24,104.13,22.02
800,Diabetes mellitus,CHE,2010,BTSX,YEARS20-24,472970,1.14,0.24,285.23,60.31
650,Colon and rectum cancers,CHE,2010,BTSX,YEARS20-24,472970,1.15,0.24,81.12,17.15
660,Liver cancer,CHE,2010,BTSX,YEARS20-24,472970,1.15,0.24,78.36,16.57
730,Ovary cancer,CHE,2010,BTSX,YEARS20-24,472970,1.15,0.24,80.34,16.99
860,Alcohol use disorders,CHE,2010,BTSX,YEARS20-24,472970,1.04,0.22,3163.8,668.92
1540,Poisonings,CHE,2010,BTSX,YEARS20-24,472970,0.95,0.2,107.28,22.68
1580,Natural disasters,CHE,2010,BTSX,YEARS20-24,472970,0.74,0.16,53.56,11.32
1130,Ischaemic heart disease,CHE,2010,BTSX,YEARS20-24,472970,0.36,0.08,27.43,5.8
420,Maternal conditions,CHE,2010,BTSX,YEARS20-24,472970,0.3,0.06,57.67,12.19
295,Echinococcosis,CHE,2010,BTSX,YEARS20-24,472970,0.13,0.03,9.02,1.91
320,Rabies,CHE,2010,BTSX,YEARS20-24,472970,0.12,0.03,8.4,1.78
811,Thalassaemias,CHE,2010,BTSX,YEARS20-24,472970,0.05,0.01,9.17,1.94
812,Sickle cell disorders and trait,CHE,2010,BTSX,YEARS20-24,472970,0.04,0.01,6.85,1.45
1270,Kidney diseases,CHE,2010,BTSX,YEARS20-24,472970,0.03,0.01,111.29,23.53
1180,Chronic obstructive pulmonary disease,CHE,2010,BTSX,YEARS20-24,472970,0.04,0.01,150.45,31.81
1630,Collective violence and legal intervention,CHE,2010,BTSX,YEARS20-24,472970,0.05,0.01,4.14,0.88
1560,"Fire, heat and hot substances",CHE,2010,BTSX,YEARS20-24,472970,0,0,129.55,27.39
1190,Asthma,CHE,2010,BTSX,YEARS20-24,472970,0,0,1254.14,265.16
1220,Peptic ulcer disease,CHE,2010,BTSX,YEARS20-24,472970,0,0,3.77,0.8
1230,Cirrhosis of the liver,CHE,2010,BTSX,YEARS20-24,472970,0,0,5.21,1.1
1240,Appendicitis,CHE,2010,BTSX,YEARS20-24,472970,0,0,34.55,7.3
1241,Gastritis and duodenitis,CHE,2010,BTSX,YEARS20-24,472970,0,0,33.54,7.09
1242,Paralytic ileus and intestinal obstruction,CHE,2010,BTSX,YEARS20-24,472970,0,0,3.52,0.74
1244,Inflammatory bowel disease,CHE,2010,BTSX,YEARS20-24,472970,0,0,90.76,19.19
1246,Gallbladder and biliary diseases,CHE,2010,BTSX,YEARS20-24,472970,0,0,55.32,11.7
1248,Pancreatitis,CHE,2010,BTSX,YEARS20-24,472970,0,0,2.78,0.59
980,Multiple sclerosis,CHE,2010,BTSX,YEARS20-24,472970,0,0,40.14,8.49
990,Migraine,CHE,2010,BTSX,YEARS20-24,472970,0,0,2587.01,546.97
1000,Non-migraine headache,CHE,2010,BTSX,YEARS20-24,472970,0,0,323.33,68.36
1030,Glaucoma,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
1040,Cataracts,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
1050,Uncorrected refractive errors,CHE,2010,BTSX,YEARS20-24,472970,0,0,1026.46,217.02
1060,Macular degeneration,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
1070,Other vision loss,CHE,2010,BTSX,YEARS20-24,472970,0,0,52.74,11.15
1080,Other hearing loss,CHE,2010,BTSX,YEARS20-24,472970,0,0,315.12,66.63
1110,Rheumatic heart disease,CHE,2010,BTSX,YEARS20-24,472970,0,0,1.44,0.3
1120,Hypertensive heart disease,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.16,0.03
1280,Benign prostatic hyperplasia,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
1290,Urolithiasis,CHE,2010,BTSX,YEARS20-24,472970,0,0,10.18,2.15
1310,Infertility,CHE,2010,BTSX,YEARS20-24,472970,0,0,201.53,42.61
1320,Gynecological diseases,CHE,2010,BTSX,YEARS20-24,472970,0,0,2879.19,608.75
1330,Skin diseases,CHE,2010,BTSX,YEARS20-24,472970,0,0,870.94,184.14
1350,Rheumatoid arthritis,CHE,2010,BTSX,YEARS20-24,472970,0,0,67.97,14.37
1360,Osteoarthritis,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
1370,Gout,CHE,2010,BTSX,YEARS20-24,472970,0,0,4.58,0.97
1380,Back and neck pain,CHE,2010,BTSX,YEARS20-24,472970,0,0,4046.26,855.5
1140,Stroke,CHE,2010,BTSX,YEARS20-24,472970,0,0,114.01,24.11
745,Kidney cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.86,0.18
750,Bladder cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.53,0.11
1470,Oral conditions,CHE,2010,BTSX,YEARS20-24,472970,0,0,563.11,119.06
1505,Sudden infant death syndrome,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
830,Depressive disorders,CHE,2010,BTSX,YEARS20-24,472970,0,0,3819.75,807.61
840,Bipolar disorder,CHE,2010,BTSX,YEARS20-24,472970,0,0,1439.03,304.25
850,Schizophrenia,CHE,2010,BTSX,YEARS20-24,472970,0,0,632.07,133.64
880,Anxiety disorders,CHE,2010,BTSX,YEARS20-24,472970,0,0,4205.38,889.14
890,Eating disorders,CHE,2010,BTSX,YEARS20-24,472970,0,0,1254.06,265.15
900,Autism and Asperger syndrome,CHE,2010,BTSX,YEARS20-24,472970,0,0,435.5,92.08
910,Childhood behavioural disorders,CHE,2010,BTSX,YEARS20-24,472970,0,0,113.7,24.04
920,Idiopathic intellectual disability,CHE,2010,BTSX,YEARS20-24,472970,0,0,151.52,32.04
950,Alzheimer disease and other dementias,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
960,Parkinson disease,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.26,0.05
740,Prostate cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,1.1,0.23
400,Upper respiratory infections,CHE,2010,BTSX,YEARS20-24,472970,0,0,427.96,90.48
410,Otitis media,CHE,2010,BTSX,YEARS20-24,472970,0,0,77.07,16.29
752,Gallbladder and biliary tract cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.06,0.01
753,Larynx cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.97,0.21
754,Thyroid cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,1.77,0.37
755,Mesothelioma,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.08,0.02
670,Pancreas cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.12,0.03
680,"Trachea, bronchus, lung cancers",CHE,2010,BTSX,YEARS20-24,472970,0,0,0.36,0.08
700,Breast cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,2.79,0.59
710,Cervix uteri cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.86,0.18
720,Corpus uteri cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.37,0.08
340,Ascariasis,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
350,Trichuriasis,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
360,Hookworm disease,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
362,Food-bourne trematodes,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
365,Leprosy,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
300,Dengue,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
310,Trachoma,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
315,Yellow fever,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
490,Neonatal conditions,CHE,2010,BTSX,YEARS20-24,472970,0,0,768.72,162.53
550,Protein-energy malnutrition,CHE,2010,BTSX,YEARS20-24,472970,0,0,179.99,38.06
560,Iodine deficiency,CHE,2010,BTSX,YEARS20-24,472970,0,0,31.75,6.71
570,Vitamin A deficiency,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
580,Iron-deficiency anaemia,CHE,2010,BTSX,YEARS20-24,472970,0,0,125.05,26.44
620,Mouth and oropharynx cancers,CHE,2010,BTSX,YEARS20-24,472970,0,0,1.33,0.28
630,Oesophagus cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.07,0.01
640,Stomach cancer,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.31,0.07
30,Tuberculosis,CHE,2010,BTSX,YEARS20-24,472970,0,0,11.34,2.4
50,Syphilis,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.65,0.14
60,Chlamydia,CHE,2010,BTSX,YEARS20-24,472970,0,0,8.08,1.71
70,Gonorrhoea,CHE,2010,BTSX,YEARS20-24,472970,0,0,2.14,0.45
80,Trichomoniasis,CHE,2010,BTSX,YEARS20-24,472970,0,0,6.05,1.28
85,Genital herpes,CHE,2010,BTSX,YEARS20-24,472970,0,0,9.02,1.91
100,HIV/AIDS,CHE,2010,BTSX,YEARS20-24,472970,0,0,20.24,4.28
110,Diarrhoeal diseases,CHE,2010,BTSX,YEARS20-24,472970,0,0,160.98,34.04
130,Whooping cough,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.11,0.02
140,Diphtheria,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
150,Measles,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
160,Tetanus,CHE,2010,BTSX,YEARS20-24,472970,0,0,0,0
170,Meningitis,CHE,2010,BTSX,YEARS20-24,472970,0,0,7.01,1.48
180,Encephalitis,CHE,2010,BTSX,YEARS20-24,472970,0,0,5.59,1.18
186,Acute hepatitis A,CHE,2010,BTSX,YEARS20-24,472970,0,0,11.04,2.33
190,Acute hepatitis B,CHE,2010,BTSX,YEARS20-24,472970,0,0,1.34,0.28
200,Acute hepatitis C,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.16,0.03
205,Acute hepatitis E,CHE,2010,BTSX,YEARS20-24,472970,0,0,0.46,0.1
